Date,Time,EV Charging Demand (kW),Solar Energy Production (kW),Wind Energy Production (kW),Electricity Price ($/kWh),Grid Availability,Weather Conditions,Battery Storage (kWh),Charging Station Capacity (kW),EV Charging Efficiency (%),Number of EVs Charging,Peak Demand (kW),Renewable Energy Usage (%),Grid Stability Index,Carbon Emissions (kgCO2/kWh),Power Outages (hours),Energy Savings ($),Total Renewable Energy Production (kW),Effective Charging Capacity (kW),Adjusted Charging Demand (kW),Net Energy Cost ($),Carbon Footprint Reduction (kgCO2),Renewable Energy Efficiency
1/1/2021,0:00:00,0.112362036,0.125388045,0.009105187,0.137310486,Available,Partly Cloudy,16.53240777,21.76342185,97.3263759,6,0.151680329,25.03906598,0.73114739,0.274944067,1.889209256,4.562580961,0.134493231,21.18154976,0.028134404,0.015428486,0.023157888,0.006349546
1/1/2021,1:00:00,0.285214292,0.052696708,0.107589362,0.125104586,Available,Sunny,39.10693019,31.21502758,88.54691271,7,0.57343266,55.64989943,1.494387,0.481250905,0.277370697,0.215103657,0.16028607,27.63994322,0.158721467,0.035681616,0.060874787,0.005799074
1/1/2021,2:00:00,0.219598183,0.105035424,0.043995702,0.106660845,Available,Cloudy,6.112691434,46.48911616,89.87297148,4,0.97848217,79.97078295,1.109293457,0.146078632,0.642644414,0.029968637,0.149031125,41.78115011,0.175614386,0.023422528,0.006425093,0.003566946
1/1/2021,3:00:00,0.179597545,0.073839334,0.275727494,0.072208804,Available,Partly Cloudy,30.04108836,49.67502944,92.75907353,5,0.208992645,2.267048135,0.847218719,0.475255305,0.546679818,1.384950035,0.349566827,46.07809708,0.004071563,0.012968524,0.083419654,0.007586399
1/1/2021,4:00:00,0.046805592,0.068614082,0.059824252,0.091089733,Available,Partly Cloudy,45.0854218,21.16618159,83.78452894,9,0.805132331,96.81579743,1.452465595,0.319261239,1.935850064,1.872169817,0.128438333,17.73398554,0.045315207,0.004263509,0.000475822,0.007242497
1/1/2021,5:00:00,0.046798356,0.08476896,0.019788476,0.099875139,Available,Clear,29.80493542,47.79867878,94.84997849,4,0.556792868,71.30563388,0.50838471,0.303947052,0.553842729,3.510594696,0.104557436,45.33703654,0.033369864,0.004673992,0.00408155,0.002306226
1/1/2021,6:00:00,0.017425084,0.054279244,0.121250964,0.07310265,Available,Sunny,49.65433441,21.13488261,96.74935021,4,0.746564255,29.89797426,1.206966851,0.409763738,1.751252376,4.656431929,0.175530209,20.44786159,0.005209747,0.00127382,0.005005402,0.008584282
1/1/2021,7:00:00,0.259852844,0.200310527,0.057739782,0.171906989,Available,Cloudy,44.36656676,31.46543399,85.63747299,7,0.034477811,52.22395638,1.242721734,0.253760273,,2.737718569,0.258050309,26.94620254,0.135705436,0.04467052,0.03150368,0.0095765
1/1/2021,8:00:00,0.180334504,0.173997527,0.018530802,0.050332749,Available,Clear,12.89880863,35.43261664,90.55393085,8,0.872159441,95.63928554,1.114435713,0.434686546,0.802729919,4.976802789,0.192528329,32.08562717,0.172470631,0.009076731,0.00341832,0.006000454
1/1/2021,9:00:00,0.212421773,0.194532568,0.225818241,0.187365732,Available,Clear,46.71583088,19.89946949,87.08597957,2,0.957362657,59.5912707,0.87121388,0.120765552,0.454403767,2.628687621,0.420350809,17.32964793,0.126584834,0.039800561,0.010366145,0.024256166
1/1/2021,10:00:00,0.006175348,0.103117417,0.167129549,0.06924242,Available,Rainy,21.5518684,21.32994065,81.42670943,7,0.882756037,27.852039,1.248328271,0.319734738,0.414570412,3.099213967,0.270246966,17.36826879,0.00171996,0.000427596,0.001424542,0.01555981
1/1/2021,11:00:00,0.290972956,0.230920021,0.017103239,0.057645343,Available,Sunny,17.13628665,23.07312553,81.64034965,6,0.424413303,81.75170055,0.770629723,0.459321774,0.465212047,2.728306647,0.24802326,18.83698036,0.237875339,0.016773236,0.024388891,0.013166827
1/1/2021,12:00:00,,0.038882622,0.140405684,0.19927808,Available,Clear,31.09866238,39.34814394,81.18957508,6,0.585869753,17.71832509,0.562430207,0.248627016,1.618576457,0.831819179,0.179288307,31.94659087,0.044248468,0.049766271,0.051088954,0.005612126
1/1/2021,13:00:00,0.063701733,0.171341013,0.011649872,0.19996941,Available,Rainy,4.000018084,49.10658359,80.32846994,1,0.34606854,48.12506306,0.620278602,0.309665796,0.219395155,2.389327047,0.182990885,39.44656724,0.030656499,0.012738398,0.010232979,0.004638956
1/1/2021,14:00:00,0.05454749,0.082635892,0.106294261,0.078763636,Available,Sunny,1.855343341,15.66215549,92.93650709,8,0.237625624,39.1384577,1.225576085,0.130854755,1.386160999,2.129277867,0.188930153,14.55586024,0.021349046,0.004296359,0.004344174,0.012979662
1/1/2021,15:00:00,0.055021353,0.15828297,0.108986018,0.070069522,Available,Sunny,29.4974421,10.22429174,94.9999238,2,0.258773745,80.14651944,1.339927281,0.335585849,1.284144144,2.613555118,0.267268988,9.71306936,0.044097699,0.00385532,0.003665824,0.027516429
1/1/2021,16:00:00,0.091272673,0.097091153,0.2468949,0.079666194,Available,Cloudy,3.899690845,,99.55667349,5,0.105842426,19.83575888,1.497261558,0.443870459,0.049965804,1.743389691,0.343986053,28.70898628,0.018104627,0.007271347,0.032477134,0.011981825
1/1/2021,17:00:00,0.157426929,0.23715353,0.220585499,0.12669852,Available,Sunny,7.090417974,23.66951237,96.83910316,1,0.149605852,1.049945414,1.263548162,0.340424416,0.381357311,2.468817701,0.457739029,22.9213435,0.001652897,0.019945759,0.053029284,0.019969991
1/1/2021,18:00:00,0.129583506,0.267381552,0.269083125,0.098177588,Unavailable,Partly Cloudy,49.97354747,14.10553756,83.56039436,7,0.845706563,62.3492195,0.694173645,0.372411898,0.699709441,0.241501252,0.536464677,11.78664282,0.080794304,0.012722196,0.018169679,0.045514629
1/1/2021,19:00:00,0.087368742,0.222774367,0.042155259,0.100454955,Available,Sunny,1.260133193,35.5169336,85.3035312,3,0.066221291,38.8379331,1.11086453,0.233196936,1.929501639,0.519758602,0.264929626,30.29719854,0.033932214,0.008776623,0.012461235,0.00874436
1/1/2021,20:00:00,0.183555868,,0.160129307,0.171435497,Available,Clear,34.73344834,32.97586947,94.45314576,6,0.417508131,33.66584736,,0.294425749,1.351065291,1.892926964,0.212804421,31.14674605,0.061795638,0.031467992,0.035849347,0.006832316
1/1/2021,21:00:00,0.041848158,0.08246007,0.00605714,0.183529184,Available,Partly Cloudy,47.07340941,47.75273695,88.936756,5,0.092329182,83.2596805,0.637439856,0.225029759,0.782442083,1.884838015,0.08851721,42.46973515,0.034842643,0.007680358,0.001576449,0.002084242
1/1/2021,22:00:00,0.087643395,0.27580742,0.247656601,0.195474631,Available,Clear,21.5262154,18.56432047,97.39293241,3,0.631064296,65.32015902,0.815572272,0.254743822,0.564110222,1.748762316,0.52346402,18.08033609,0.057248805,0.01713206,0.007742834,0.028952118
